"accession","pais","lat_lon","lat","lon"
"MZ335471",NA,"23.6997 S 64.8666 W",-23.6997,-64.8666
"MZ335432",NA,"23.6997 S 64.8666 W",-23.6997,-64.8666
"MZ335265",NA,"23.6997 S 64.8666 W",-23.6997,-64.8666
"MN620789",NA,"9.1547 N 79.8481 W",9.1547,-79.8481
"MF547258",NA,"25.715 S 54.4408 W",-25.715,-54.4408
"MF547169",NA,"25.715 S 54.4408 W",-25.715,-54.4408
"MF547007",NA,"25.715 S 54.4408 W",-25.715,-54.4408
"MF546709",NA,"26.18 S 58.94 W",-26.18,-58.94
"MF546171",NA,"25.715 S 54.4408 W",-25.715,-54.4408
"MF546062",NA,"26.18 S 58.94 W",-26.18,-58.94
"MF545983",NA,"25.68 S 54.17 W",-25.68,-54.17
"MF545893",NA,"26.18 S 58.94 W",-26.18,-58.94
"MF545810",NA,"25.715 S 54.4408 W",-25.715,-54.4408
"MF545539",NA,"25.715 S 54.4408 W",-25.715,-54.4408
"MF545482",NA,"25.715 S 54.4408 W",-25.715,-54.4408
"MF545456",NA,"25.68 S 54.17 W",-25.68,-54.17
"JN282556",NA,"4.088 N 52.681 W",4.088,-52.681
"HM406609",NA,"9.15472 N 79.8481 W",9.15472,-79.8481
"HM406601",NA,"9.15472 N 79.8481 W",9.15472,-79.8481
"HM406595",NA,"9.15472 N 79.8481 W",9.15472,-79.8481
"HM406581",NA,"9.15472 N 79.8481 W",9.15472,-79.8481
"KP849135",NA,"9.15472 N 79.8481 W",9.15472,-79.8481
"KP849134",NA,"9.15472 N 79.8481 W",9.15472,-79.8481
"KP849133",NA,"9.15472 N 79.8481 W",9.15472,-79.8481
"KP849132",NA,"9.15472 N 79.8481 W",9.15472,-79.8481
"KP849131",NA,"9.15472 N 79.8481 W",9.15472,-79.8481
"JQ536399",NA,"10.772 N 85.434 W",10.772,-85.434
"JQ536398",NA,"10.889 N 85.476 W",10.889,-85.476
"JQ536397",NA,"10.886 N 85.492 W",10.886,-85.492
"JQ536396",NA,"11.027 N 85.495 W",11.027,-85.495
"JQ536395",NA,"10.929 N 85.464 W",10.929,-85.464
"JQ536394",NA,"10.763 N 85.43 W",10.763,-85.43
"JQ536393",NA,"10.929 N 85.464 W",10.929,-85.464
"JQ536392",NA,"10.925 N 85.467 W",10.925,-85.467
"JQ536386",NA,"10.772 N 85.434 W",10.772,-85.434
"JQ536385",NA,"10.982 N 85.428 W",10.982,-85.428
"JQ536384",NA,"10.925 N 85.467 W",10.925,-85.467
"JQ536383",NA,"10.929 N 85.464 W",10.929,-85.464
"JQ536379",NA,"10.927 N 85.468 W",10.927,-85.468
"JQ536378",NA,"10.929 N 85.464 W",10.929,-85.464
"JQ536372",NA,"10.929 N 85.464 W",10.929,-85.464
"JQ535944",NA,"10.916 N 85.379 W",10.916,-85.379
"JQ535943",NA,"10.901 N 85.289 W",10.901,-85.289
"JQ535942",NA,"10.901 N 85.289 W",10.901,-85.289
"JQ535941",NA,"10.901 N 85.289 W",10.901,-85.289
"JQ535940",NA,"10.90 N 85.373 W",10.9,-85.373
"JQ535939",NA,"10.876 N 85.386 W",10.876,-85.386
"JQ535938",NA,"10.876 N 85.386 W",10.876,-85.386
"JQ535937",NA,"10.901 N 85.289 W",10.901,-85.289
"JQ535936",NA,"10.901 N 85.289 W",10.901,-85.289
"JQ535935",NA,"10.925 N 85.472 W",10.925,-85.472
"JQ535934",NA,"10.925 N 85.467 W",10.925,-85.467
"JQ535933",NA,"10.901 N 85.289 W",10.901,-85.289
"JQ535932",NA,"11.024 N 85.491 W",11.024,-85.491
"JQ535931",NA,"10.901 N 85.289 W",10.901,-85.289
"JQ535930",NA,"10.924 N 85.47 W",10.924,-85.47
"JQ535929",NA,"10.762 N 85.40 W",10.762,-85.4
"JQ535927",NA,"11.035 N 85.445 W",11.035,-85.445
"JQ548311",NA,"10.904 N 85.287 W",10.904,-85.287
"HM388490",NA,"20.679 N 88.154 W",20.679,-88.154
"HM388489",NA,"18.608 N 89.30 W",18.608,-89.3
"HM388488",NA,"19.592 N 88.586 W",19.592,-88.586
